Date,Close/Last,Volume,Open,High,Low
06/06/2025,$95.64,836015,$96.72,$97.00,$95.33
06/05/2025,$96.07,1673384,$96.75,$97.65,$95.66
06/04/2025,$93.74,1160505,$93.20,$94.36,$92.60
06/03/2025,$92.50,1219169,$91.71,$92.97,$90.8129
06/02/2025,$92.45,1143362,$92.96,$93.54,$91.65
05/30/2025,$90.91,1312415,$91.75,$91.75,$89.57
05/29/2025,$92.39,1053388,$92.95,$93.12,$91.81
05/28/2025,$91.74,679680,$92.72,$92.72,$91.39
05/27/2025,$93.16,1021655,$92.34,$94.30,$92.34
05/23/2025,$92.34,1072256,$89.31,$92.81,$89.31
05/22/2025,$90.42,882805,$90.19,$90.70,$89.19
05/21/2025,$90.93,984561,$91.13,$92.29,$90.41
05/20/2025,$91.67,779404,$91.65,$92.1292,$91.255
05/19/2025,$91.63,913609,$89.23,$91.74,$89.06
05/16/2025,$90.79,1174710,$91.11,$91.47,$88.54
05/15/2025,$92.21,1000380,$92.50,$92.61,$90.91
05/14/2025,$93.40,791435,$93.06,$93.69,$92.43
05/13/2025,$93.29,768116,$92.46,$94.04,$92.26
05/12/2025,$92.26,1381353,$92.88,$94.20,$91.29
05/09/2025,$89.38,1022848,$89.00,$89.44,$88.13
05/08/2025,$88.08,984339,$87.25,$88.88,$87.12
05/07/2025,$87.46,1326308,$89.40,$89.70,$86.59
05/06/2025,$90.52,1034340,$88.57,$90.7173,$88.10
05/05/2025,$88.55,664006,$89.97,$90.15,$88.51
05/02/2025,$90.14,796239,$90.71,$90.90,$89.27
05/01/2025,$89.84,1193075,$89.83,$91.465,$89.4667
04/30/2025,$89.52,1918636,$88.64,$89.66,$87.11
04/29/2025,$92.87,1178332,$93.65,$94.6094,$92.80
04/28/2025,$93.82,1057986,$94.30,$95.27,$92.86
04/25/2025,$94.28,1610129,$93.76,$95.105,$93.155
04/24/2025,$95.83,1395178,$93.73,$96.415,$92.92
04/23/2025,$92.25,1578364,$91.71,$94.07,$91.71
04/22/2025,$89.11,1023322,$88.33,$89.77,$88.04
04/21/2025,$86.64,1099231,$86.96,$87.43,$84.9697
04/17/2025,$86.26,1058476,$86.23,$87.26,$85.14
04/16/2025,$86.19,1701967,$86.74,$87.895,$85.38
04/15/2025,$86.83,1256724,$87.00,$87.70,$85.87
04/14/2025,$87.67,2013431,$85.83,$88.82,$85.44
04/11/2025,$84.63,1845794,$83.58,$85.68,$82.56
04/10/2025,$81.84,2536269,$83.00,$83.07,$79.26
04/09/2025,$84.42,2247720,$77.80,$85.345,$74.87
04/08/2025,$75.63,2010111,$81.92,$82.155,$74.84
04/07/2025,$79.40,3066278,$75.36,$82.9199,$75.06
04/04/2025,$78.39,2937294,$81.60,$81.96,$77.43
04/03/2025,$86.73,2119613,$89.62,$90.88,$86.50
04/02/2025,$94.36,903482,$92.92,$94.48,$92.40
04/01/2025,$93.88,1138746,$93.00,$94.41,$92.29
03/31/2025,$93.46,1155005,$91.09,$94.07,$90.16
03/28/2025,$94.14,1136313,$96.14,$97.91,$93.90
03/27/2025,$96.84,1330405,$95.93,$97.42,$94.67
03/26/2025,$97.70,1940333,$101.99,$101.99,$96.82
03/25/2025,$101.48,2644769,$101.15,$102.53,$100.72
03/24/2025,$99.64,2368490,$101.62,$103.67,$99.02
03/21/2025,$100.41,5119651,$97.64,$101.62,$96.00
03/20/2025,$99.22,1199183,$98.51,$100.50,$98.04
03/19/2025,$99.54,1244334,$99.09,$100.46,$98.33
03/18/2025,$98.80,973420,$99.00,$99.3351,$97.06
03/17/2025,$97.88,1497264,$96.97,$98.77,$96.72
03/14/2025,$96.13,1678628,$93.77,$96.27,$93.415
03/13/2025,$92.41,2026248,$91.53,$94.73,$91.375
03/12/2025,$90.34,1338402,$90.01,$91.04,$88.31
03/11/2025,$88.86,1567250,$88.89,$90.665,$87.38
03/10/2025,$88.46,1806171,$88.15,$89.95,$86.62
03/07/2025,$90.96,2167483,$89.96,$91.60,$88.335
03/06/2025,$90.82,1204354,$90.12,$92.49,$90.00
03/05/2025,$90.49,2097440,$89.25,$90.51,$88.185
03/04/2025,$85.92,1297315,$86.15,$87.56,$84.33
03/03/2025,$86.71,1178547,$91.81,$92.25,$86.36
02/28/2025,$88.93,1542652,$88.35,$88.98,$87.57
