Date,Close/Last,Volume,Open,High,Low
06/06/2025,$154.45,1912791,$153.22,$154.565,$152.61
06/05/2025,$153.03,2560048,$152.05,$153.92,$150.56
06/04/2025,$152.05,2572529,$151.88,$153.10,$150.34
06/03/2025,$152.20,2407491,$155.38,$155.70,$151.40
06/02/2025,$155.22,2094313,$153.20,$155.32,$152.7933
05/30/2025,$154.28,7389963,$153.20,$154.91,$152.04
05/29/2025,$153.07,2820086,$151.38,$153.35,$150.40
05/28/2025,$151.70,2244669,$151.48,$152.09,$149.895
05/27/2025,$152.47,2343100,$150.68,$153.1617,$149.92
05/23/2025,$149.17,2183284,$148.16,$149.72,$147.49
05/22/2025,$146.90,1987938,$148.47,$148.792,$146.645
05/21/2025,$148.30,2154109,$151.55,$152.11,$148.06
05/20/2025,$151.22,2681920,$149.44,$151.41,$149.42
05/19/2025,$150.65,2548803,$148.41,$150.71,$147.61
05/16/2025,$148.72,2412625,$147.28,$148.72,$146.50
05/15/2025,$146.89,2396222,$143.78,$147.00,$143.78
05/14/2025,$143.40,3016239,$144.22,$144.295,$142.65
05/13/2025,$145.28,3284431,$145.885,$146.225,$143.5518
05/12/2025,$145.63,3227584,$149.10,$149.275,$142.98
05/09/2025,$149.18,1764003,$148.67,$149.775,$147.98
05/08/2025,$148.25,2605041,$151.31,$152.035,$148.06
05/07/2025,$151.34,4334004,$149.87,$152.43,$149.60
05/06/2025,$150.50,2528194,$150.49,$151.47,$149.495
05/05/2025,$150.93,2688804,$151.07,$151.61,$149.45
05/02/2025,$150.72,2367889,$152.04,$153.1852,$149.81
05/01/2025,$150.33,2694988,$151.50,$151.71,$148.9001
04/30/2025,$152.59,4269538,$151.04,$153.79,$150.1371
04/29/2025,$151.48,4444755,$152.63,$152.815,$149.89
04/28/2025,$149.05,2398192,$147.82,$149.35,$146.88
04/25/2025,$146.96,1531347,$148.08,$148.95,$145.90
04/24/2025,$147.75,1684204,$147.03,$148.97,$146.62
04/23/2025,$147.65,1976362,$147.38,$148.895,$146.345
04/22/2025,$147.25,3386105,$144.95,$148.00,$144.55
04/21/2025,$143.65,2241790,$146.76,$147.27,$141.55
04/17/2025,$147.27,1951691,$146.43,$148.375,$146.26
04/16/2025,$145.63,2471012,$146.52,$147.87,$144.945
04/15/2025,$146.59,1930467,$146.39,$147.91,$144.80
04/14/2025,$145.59,2577017,$143.90,$146.52,$142.74
04/11/2025,$142.67,2651412,$141.40,$143.12,$139.09
04/10/2025,$141.81,3412313,$140.99,$143.88,$138.05
04/09/2025,$141.49,4707269,$134.73,$142.12,$130.29
04/08/2025,$136.49,4787120,$142.98,$143.31,$135.27
04/07/2025,$138.81,5387725,$140.10,$145.13,$136.6386
04/04/2025,$143.29,4825286,$152.30,$152.91,$142.98
04/03/2025,$152.43,4044392,$153.26,$157.40,$151.88
04/02/2025,$153.08,2464457,$154.00,$154.99,$152.18
04/01/2025,$154.15,3198041,$154.05,$154.47,$151.8765
03/31/2025,$153.21,3708558,$153.87,$154.47,$152.04
03/28/2025,$153.42,2853006,$150.92,$153.74,$150.82
03/27/2025,$149.92,2849521,$149.79,$151.36,$149.04
03/26/2025,$149.85,1808662,$148.42,$150.12,$147.98
03/25/2025,$148.17,4511187,$149.71,$150.68,$147.355
03/24/2025,$149.84,4496352,$147.77,$150.84,$146.915
03/21/2025,$146.52,12752240,$146.62,$148.39,$145.78
03/20/2025,$147.89,4751354,$148.76,$149.145,$147.33
03/19/2025,$148.76,4881032,$149.97,$150.49,$148.12
03/18/2025,$149.97,2837987,$151.00,$152.60,$149.71
03/17/2025,$151.26,2206438,$148.17,$151.74,$147.21
03/14/2025,$147.84,2536230,$146.04,$148.29,$145.38
03/13/2025,$145.89,2079604,$147.75,$148.245,$144.75
03/12/2025,$147.38,2461150,$148.18,$148.42,$146.07
03/11/2025,$147.29,2461350,$147.22,$149.33,$145.72
03/10/2025,$146.20,3344953,$145.44,$146.87,$143.58
03/07/2025,$147.45,3323950,$149.21,$149.82,$146.23
03/06/2025,$148.97,3740944,$153.72,$154.00,$148.79
03/05/2025,$154.85,2390994,$152.28,$155.52,$152.28
03/04/2025,$153.90,3030359,$157.31,$158.55,$153.36
03/03/2025,$156.86,3441402,$153.49,$157.165,$152.51
02/28/2025,$153.51,5298928,$152.91,$153.8999,$150.70
02/27/2025,$151.52,2150501,$150.57,$152.185,$149.98
02/26/2025,$150.65,2045491,$152.315,$152.43,$149.8158
02/25/2025,$151.74,3163473,$150.35,$152.59,$149.44
02/24/2025,$150.64,2320877,$148.92,$151.77,$148.83
02/21/2025,$148.58,3988479,$150.33,$151.078,$147.29
